NAME,CATEGORY,SUBCAT
ISTANA (ISTANA),ORGANS_OF_STATE,
"JUDICIARY, FAMILY JUSTICE COURTS (FJCOURTS)",ORGANS_OF_STATE,
"JUDICIARY, STATE COURTS (STATE COURTS)",ORGANS_OF_STATE,
"JUDICIARY, SUPREME COURT (SUPCOURT)",ORGANS_OF_STATE,
PARLIAMENT OF SINGAPORE (PARL),ORGANS_OF_STATE,
PUBLIC SERVICE COMMISSION (PSC),ORGANS_OF_STATE,
THE CABINET (CAB),ORGANS_OF_STATE,
Applied Research,OTHER_ORG,Autonomous Universities
NANYANG TECHNOLOGICAL UNIVERSITY SINGAPORE,OTHER_ORG,Autonomous Universities
NATIONAL UNIVERSITY OF SINGAPORE,OTHER_ORG,Autonomous Universities
SINGAPORE INSTITUTE OF TECHNOLOGY,OTHER_ORG,Autonomous Universities
SINGAPORE MANAGEMENT UNIVERSITY,OTHER_ORG,Autonomous Universities
SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,OTHER_ORG,Autonomous Universities
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,OTHER_ORG,Autonomous Universities
ACE The Place<br>Our Community Club @ Admiralty,OTHER_ORG,Community Centres
Aljunied Community Centre,OTHER_ORG,Community Centres
Anchorvale Community Club,OTHER_ORG,Community Centres
Ang Mo Kio Community Centre,OTHER_ORG,Community Centres
Ayer Rajah Community Centre,OTHER_ORG,Community Centres
Bedok Community Centre,OTHER_ORG,Community Centres
Bishan Community Club,OTHER_ORG,Community Centres
Bishan North Community Centre,OTHER_ORG,Community Centres
Boon Lay Community Centre,OTHER_ORG,Community Centres
Braddell Heights Community Club,OTHER_ORG,Community Centres
Bukit Batok Community Club,OTHER_ORG,Community Centres
Bukit Batok East Community Club,OTHER_ORG,Community Centres
Bukit Merah Community Centre,OTHER_ORG,Community Centres
Bukit Panjang Community Club,OTHER_ORG,Community Centres
Bukit Timah Community Club,OTHER_ORG,Community Centres
Buona Vista Community Club,OTHER_ORG,Community Centres
Cairnhill Community Club,OTHER_ORG,Community Centres
Canberra Community Club,OTHER_ORG,Community Centres
Changi Simei Community Club,OTHER_ORG,Community Centres
Cheng San Community Club,OTHER_ORG,Community Centres
Chong Pang Community Club,OTHER_ORG,Community Centres
Chua Chu Kang Community Club,OTHER_ORG,Community Centres
Ci Yuan Community Club,OTHER_ORG,Community Centres
Clementi Community Centre,OTHER_ORG,Community Centres
Dover Community Centre,OTHER_ORG,Community Centres
Eunos Community Club,OTHER_ORG,Community Centres
Fengshan Community Club,OTHER_ORG,Community Centres
Fuchun Community Club,OTHER_ORG,Community Centres
Gek Poh Ville Community Club,OTHER_ORG,Community Centres
Geylang Serai Community Club,OTHER_ORG,Community Centres
Geylang West Community Club,OTHER_ORG,Community Centres
Henderson Community Club,OTHER_ORG,Community Centres
Hillview Community Club,OTHER_ORG,Community Centres
Hong Kah North Community Club,OTHER_ORG,Community Centres
Hougang Community Club,OTHER_ORG,Community Centres
Hwi Yoh Community Centre,OTHER_ORG,Community Centres
Jalan Besar Community Club,OTHER_ORG,Community Centres
Joo Chiat Community Club,OTHER_ORG,Community Centres
Jurong Green Community Club,OTHER_ORG,Community Centres
Jurong Spring Community Club,OTHER_ORG,Community Centres
Kaki Bukit Community Centre,OTHER_ORG,Community Centres
Kallang Community Club,OTHER_ORG,Community Centres
Kampong Chai Chee Community Club,OTHER_ORG,Community Centres
Kampong Glam Community Club,OTHER_ORG,Community Centres
Kampong Kembangan Community Club,OTHER_ORG,Community Centres
Kampong Ubi Community Centre,OTHER_ORG,Community Centres
Katong Community Centre,OTHER_ORG,Community Centres
Keat Hong Community Club,OTHER_ORG,Community Centres
Kebun Bahru Community Club,OTHER_ORG,Community Centres
Kim Seng Community Centre,OTHER_ORG,Community Centres
Kolam Ayer Community Club,OTHER_ORG,Community Centres
Kreta Ayer Community Club,OTHER_ORG,Community Centres
Leng Kee Community Centre,OTHER_ORG,Community Centres
MacPherson Community Club,OTHER_ORG,Community Centres
Marine Parade Community Club,OTHER_ORG,Community Centres
Marsiling Community Club,OTHER_ORG,Community Centres
Mountbatten Community Club,OTHER_ORG,Community Centres
Nanyang Community Club,OTHER_ORG,Community Centres
Nee Soon Central Community Club,OTHER_ORG,Community Centres
Nee Soon East Community Club,OTHER_ORG,Community Centres
Nee Soon Link Community Centre,OTHER_ORG,Community Centres
Nee Soon South Community Club,OTHER_ORG,Community Centres
Pasir Ris East Community Club,OTHER_ORG,Community Centres
Pasir Ris Elias Community Club,OTHER_ORG,Community Centres
Paya Lebar Kovan Community Club,OTHER_ORG,Community Centres
Pek Kio Community Centre,OTHER_ORG,Community Centres
Potong Pasir Community Club,OTHER_ORG,Community Centres
