NAME,CATEGORY,SUBCAT,NAME_CLEAN
PEOPLE'S ASSOCIATION (PA),STATUTORY_BOARDS,STATUTORY_BOARDS,peoples association
"PROFESSIONAL ENGINEERS BOARD, SINGAPORE (PEB)",STATUTORY_BOARDS,STATUTORY_BOARDS,professional engineers board singapore
"PUB, Singapore's National Water Agency (PUB)",STATUTORY_BOARDS,STATUTORY_BOARDS,pub singapores national water agency
PUBLIC TRANSPORT COUNCIL (PTC),STATUTORY_BOARDS,STATUTORY_BOARDS,public transport council
REPUBLIC POLYTECHNIC (RP),STATUTORY_BOARDS,STATUTORY_BOARDS,republic polytechnic
SCIENCE CENTRE BOARD (SCB),STATUTORY_BOARDS,STATUTORY_BOARDS,science centre board
SENTOSA DEVELOPMENT CORPORATION (SDC),STATUTORY_BOARDS,STATUTORY_BOARDS,sentosa development corporation
SINGAPORE DENTAL COUNCIL (SDC),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore dental council
SINGAPORE EXAMINATIONS AND ASSESSMENT BOARD (SEAB),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore examinations and assessment board
SINGAPORE FOOD AGENCY (SFA),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore food agency
SINGAPORE LABOUR FOUNDATION (SLF),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore labour foundation
SINGAPORE LAND AUTHORITY (SLA),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore land authority
SINGAPORE MEDICAL COUNCIL (SMC),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore medical council
SINGAPORE NURSING BOARD (SNB),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore nursing board
SINGAPORE PHARMACY COUNCIL (SPC),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore pharmacy council
SINGAPORE POLYTECHNIC (SP),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore polytechnic
SINGAPORE TOURISM BOARD (STB),STATUTORY_BOARDS,STATUTORY_BOARDS,singapore tourism board
