NAME,CATEGORY,SUBCAT,NAME_CLEAN
BEDOK DIVISION,OTHER_ORG,Police Stations,bedok division
CENTRAL DIVISION,OTHER_ORG,Police Stations,central division
CLEMENTI DIVISION,OTHER_ORG,Police Stations,clementi division
JURONG DIVISION,OTHER_ORG,Police Stations,jurong division
TANGLIN DIVISION,OTHER_ORG,Police Stations,tanglin division
WOODLANDS DIVISION,OTHER_ORG,Police Stations,woodlands division
NATIONAL HEALTHCARE GROUP POLYCLINICS,OTHER_ORG,Polyclinics,national healthcare group polyclinics
NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG,OTHER_ORG,Polyclinics,national healthcare group polyclinics  kallang
NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,OTHER_ORG,Polyclinics,national healthcare group polyclinics  sembawang
NATIONAL HEALTHCARE GROUP POLYCLINICS-ANG MO KIO,OTHER_ORG,Polyclinics,national healthcare group polyclinicsang mo kio
NATIONAL HEALTHCARE GROUP POLYCLINICS-GEYLANG,OTHER_ORG,Polyclinics,national healthcare group polyclinicsgeylang
NATIONAL HEALTHCARE GROUP POLYCLINICS-HOUGANG,OTHER_ORG,Polyclinics,national healthcare group polyclinicshougang
NATIONAL HEALTHCARE GROUP POLYCLINICS-TOA PAYOH,OTHER_ORG,Polyclinics,national healthcare group polyclinicstoa payoh
NATIONAL HEALTHCARE GROUP POLYCLINICS-WOODLANDS,OTHER_ORG,Polyclinics,national healthcare group polyclinicswoodlands
NATIONAL HEALTHCARE GROUP POLYCLINICS-YISHUN,OTHER_ORG,Polyclinics,national healthcare group polyclinicsyishun
SINGHEALTH POLYCLINICS,OTHER_ORG,Polyclinics,singhealth polyclinics
SINGHEALTH POLYCLINICS - BEDOK,OTHER_ORG,Polyclinics,singhealth polyclinics  bedok
SINGHEALTH POLYCLINICS - BUKIT MERAH,OTHER_ORG,Polyclinics,singhealth polyclinics  bukit merah
SINGHEALTH POLYCLINICS - MARINE PARADE,OTHER_ORG,Polyclinics,singhealth polyclinics  marine parade
SINGHEALTH POLYCLINICS - OUTRAM,OTHER_ORG,Polyclinics,singhealth polyclinics  outram
SINGHEALTH POLYCLINICS - PASIR RIS,OTHER_ORG,Polyclinics,singhealth polyclinics  pasir ris
SINGHEALTH POLYCLINICS - SENGKANG,OTHER_ORG,Polyclinics,singhealth polyclinics  sengkang
SINGHEALTH POLYCLINICS - TAMPINES,OTHER_ORG,Polyclinics,singhealth polyclinics  tampines
NANYANG POLYTECHNIC,OTHER_ORG,Polytechnics,nanyang polytechnic
NGEE ANN POLYTECHNIC,OTHER_ORG,Polytechnics,ngee ann polytechnic
REPUBLIC POLYTECHNIC,OTHER_ORG,Polytechnics,republic polytechnic
SINGAPORE POLYTECHNIC,OTHER_ORG,Polytechnics,singapore polytechnic
TEMASEK POLYTECHNIC,OTHER_ORG,Polytechnics,temasek polytechnic
Jurong Town Corporation,STATUTORY_BOARDS,Urban Planning,jurong town corporation
Assumption Pathway School,EDUCATION,Specialised Schools,assumption pathway school
Raffles Girls' School (Secondary),EDUCATION,Independent Schools,raffles girls school
Anglo-Chinese School (Independent),EDUCATION,Independent Schools,anglochinese school
Northlight School,EDUCATION,Specialised Schools,northlight school
